Season_Number,Startup_Name,Episode_Number,Pitch_Number,Season_Start,Season_End,Original_Air_Date,Episode_Title,Anchor,Industry,Business_Description,Company_Website,Started_in,Number_of_Presenters,Male_Presenters,Female_Presenters,Transgender_Presenters,Couple_Presenters,Pitchers_Average_Age,Pitchers_City,Pitchers_State,Yearly_Revenue(in_lakhs),Monthly_Sales(in_lakhs),Gross_Margin,Net_Margin,EBITDA,Cash_Burn,SKUs,Has_Patents,Bootstrapped,Original_Ask_Amount,Original_Offered_Equity(in_%),Valuation_Requested(in_lakhs),Received_Offer,Accepted_Offer,Total_Deal_Amount(in_lakhs),Total_Deal_Equity(%),Number_of_Sharks_in_Deal,Namita_Investment_Amount(in lakhs),Vineeta_Investment_Amount(in_lakhs),Anupam_Investment_Amount(in_lakhs),Aman_Investment_Amount(in_lakhs),Peyush_Investment_Amount((in_lakhs),Amit_Investment_Amount(in_lakhs),Ashneer_Investment_Amount,Namita_Present,Vineeta_Present,Anupam_Present,Aman_Present,Peyush_Present,Amit_Present,Ashneer_Present
1,JhaJiAchaar,4,11,2021-12-20,2022-02-04,2021-12-23,Entrepreneurship0Ki0Wave,Rannvijay0Singh,Food,Pickle,https://www.jhajistore.com/,2021,2,,2,,0,Old,Darbhanga,Bihar,,5,18,,,,,,,50,10,500,Yes,Yes,56.6,5.62,2,28.3,28.3,,,,,,Yes,Yes,Yes,Yes,,,Yes
1,Bummer,4,12,2021-12-20,2022-02-04,2021-12-23,Entrepreneurship0Ki0Wave,Rannvijay0Singh,Beauty/Fashion,Underwear,https://bummer.in/,2020,1,1,,,0,Young,Ahmedabad,Gujarat,36,15,70,,,,,,,75,4,1875,Yes,Yes,75,7.5,2,37.5,,,37.5,,,,Yes,Yes,Yes,Yes,,,Yes
1,RevampMoto,5,13,2021-12-20,2022-02-04,2021-12-24,Hunt0For0Interesting0Business,Rannvijay0Singh,Vehicles/Electrical0Vehicles,E-Bike0Mitra0bud-e0RM,https://www.revampmoto.in/,2021,3,3,,,0,Young,Nashik,Maharashtra,,0.01,,,,,,,,100,1,10000,Yes,Yes,100,1.5,2,,,50,50,,,,Yes,Yes,Yes,Yes,,,Yes
1,HungryHead,5,14,2021-12-20,2022-02-04,2021-12-24,Hunt0For0Interesting0Business,Rannvijay0Singh,Food,Restaurant0serving0800types0of0Maggi,http://www.hungryhead.co.in/,2013,2,2,,,0,Middle,Mumbai,Maharashtra,,5.5,,,,,80,,,50,5,1000,No,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes
1,ShrawaniEngineers,5,15,2021-12-20,2022-02-04,2021-12-24,Hunt0For0Interesting0Business,Rannvijay0Singh,Beauty/Fashion,Belly0Button0Shaper,https://www.shrawaniengineers.com/,2019,2,1,1,,1,Middle,Nagpur,Maharashtra,50,,,,,,,,,20,10,200,No,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes
1,SkippiIcePops,6,16,2021-12-20,2022-02-04,2021-12-27,"New0Week,0New0Ideas",Rannvijay0Singh,Food,Ice-Pops,https://skippi.in/,2021,2,1,1,,1,Middle,Hyderabad,Telangana,,7.5,,,,,,yes,,45,5,900,Yes,Yes,100,15,5,20,20,20,20,,,20,Yes,Yes,Yes,Yes,,,Yes
1,Menstrupedia,6,17,2021-12-20,2022-02-04,2021-12-27,"New0Week,0New0Ideas",Rannvijay0Singh,Education,Menstrual0Awareness0Comic,https://www.menstrupedia.com/,2012,2,1,1,,1,Middle,Ahmedabad,Gujarat,115,,27,,,,,,,50,10,500,Yes,Yes,50,20,1,50,,,,,,,Yes,Yes,Yes,Yes,,,Yes
1,Hecoll,6,18,2021-12-20,2022-02-04,2021-12-27,"New0Week,0New0Ideas",Rannvijay0Singh,Beauty/Fashion,Pollution0Resistant0Fabric0-0Healthy0Cover0For0All,https://hecoll.com/,2019,1,,1,,0,Middle,Hyderabad,Telangana,107,,,,,,,,,100,1,10000,No,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes
1,RaisingSuperstars,7,19,2021-12-20,2022-02-04,2021-12-28,A0Never0Give0Up0Spirit,Rannvijay0Singh,Education,Child0Development0App,https://raisingsuperstars.com/india-page,2020,2,1,1,,1,Middle,Gurgaon,Haryana,1300,,,,,,,,,100,2,5000,Yes,Yes,100,4,2,,,,50,,,50,Yes,Yes,Yes,Yes,,,Yes
1,Torch-it,7,20,2021-12-20,2022-02-04,2021-12-28,A0Never0Give0Up0Spirit,Rannvijay0Singh,Education,Gadgets0for0visually0impaired0people,https://mytorchit.com/,2018,1,1,,,0,Middle,Ahmedabad,Gujarat,260,1,,,,,,yes,,75,1,7500,Yes,No,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes
1,Kavach,7,21,2021-12-20,2022-02-04,2021-12-28,A0Never0Give0Up0Spirit,Rannvijay0Singh,Education,Report0bullying0incidents,https://antibullyingsquad.com/,2018,2,1,1,,0,Young,Gurgaon,Haryana,,,,,,,,,,5,10,50,Yes,Yes,5,10,2,,,2.5,2.5,,,,Yes,Yes,Yes,Yes,,,Yes
1,LaKheerDeli,7,22,2021-12-20,2022-02-04,2021-12-28,A0Never0Give0Up0Spirit,Rannvijay0Singh,Food,Kheer0in0variety0of0flavors,https://lakheerdeli.com/,2018,3,1,2,,0,Middle,Pune,Maharashtra,,6,,,,,9,,,50,7.5,667,Yes,No,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes
1,BeyondSnack,8,23,2021-12-20,2022-02-04,2021-12-29,Shark0Ko0Impress0Karne0Wale0Ideas,Rannvijay0Singh,Food,Kerala0Banana0Chips,https://www.beyondsnack.in/,2020,1,1,,,0,Middle,Thiruvananthapuram,Kerala,60,20.6,51,,,,,,,50,2.5,2000,Yes,Yes,50,2.5,2,,,,25,,,25,Yes,,Yes,Yes,Yes,,Yes
1,VivalyfInnovations,8,24,2021-12-20,2022-02-04,2021-12-29,Shark0Ko0Impress0Karne0Wale0Ideas,Rannvijay0Singh,Medical/Health,Easy0Life0Prickless0Diabetes0Testing0Machine,https://vivalyf.in/,2021,2,1,1,,0,Young,Hyderabad,Telangana,0,,,,,,,,,56,7.5,747,Yes,Yes,56,33.33,2,,,28,,28,,,Yes,,Yes,Yes,Yes,,Yes
1,MotionBreeze,8,25,2021-12-20,2022-02-04,2021-12-29,Shark0Ko0Impress0Karne0Wale0Ideas,Rannvijay0Singh,Vehicles/Electrical0Vehicles,Smart0Electric0Motorcycle,https://www.motionautomotive.in/,2018,4,4,,,0,Middle,Vadodara,Gujarat,0,,,,,,,yes,,30,3,1000,Yes,Yes,30,6,1,,,,,,,30,Yes,,Yes,Yes,Yes,,Yes
1,Altor,9,26,2021-12-20,2022-02-04,2021-12-30,Defining0Innovations,Rannvijay0Singh,Manufacturing,Smart0Helmets,https://www.altorsmarthelmet.com/,2019,4,4,,,0,Young,Kolkata,West0Bengal,,,,,,,,,,50,5,1000,Yes,Yes,50,7,2,25,,,25,,,,Yes,,Yes,Yes,Yes,,Yes
1,Ariro,9,27,2021-12-20,2022-02-04,2021-12-30,Defining0Innovations,Rannvijay0Singh,Manufacturing,Wooden0Toys,https://arirotoys.com/,2020,2,1,1,,1,Young,Chennai,Tamil0Nadu,300,25,50,,,,,,,50,2.5,2000,Yes,Yes,50,10,2,,,,25,25,,,Yes,,Yes,Yes,Yes,,Yes
1,KabiraHandmad,9,28,2021-12-20,2022-02-04,2021-12-30,Defining0Innovations,Rannvijay0Singh,Food,Healthy0Edible0Oils0dairy0products0spices0flour,https://www.kabirafoods.com/,1998,2,1,1,,1,Middle,Jaipur,Rajasthan,,160,3,1,,,,,,100,5,2000,Yes,No,,,,,,,,,,,Yes,,Yes,Yes,Yes,,Yes
1,Nuutjob,10,29,2021-12-20,2022-02-04,2021-12-31,Passion0About0Entrepreneurship,Rannvijay0Singh,Beauty/Fashion,Male0Intimate0Hygiene0deo0spray,https://nuutjob.com/,2021,2,,2,,0,Young,Ahmedabad,Gujarat,,0.002,70,,,,,,,25,5,500,Yes,Yes,25,20,3,8.33,,,8.33,8.33,,,Yes,,Yes,Yes,Yes,,Yes
1,Meatyour,10,30,2021-12-20,2022-02-04,2021-12-31,Passion0About0Entrepreneurship,Rannvijay0Singh,Food,Eggs,https://meatyour.com/,2020,3,3,,,0,Middle,Pune,Maharashtra,130,2.8,30,,,,,,,30,5,600,Yes,Yes,30,20,3,,,10,10,10,,,Yes,,Yes,Yes,Yes,,Yes
1,EventBeep,10,31,2021-12-20,2022-02-04,2021-12-31,Passion0About0Entrepreneurship,Rannvijay0Singh,Education,Student0Community0App0EdTech,https://www.eventbeep.com/,2019,3,2,1,,0,Young,Pune,Maharashtra,120,,,,,,,,,30,2,1500,Yes,Yes,30,3,3,,,,10,10,,10,Yes,,Yes,Yes,Yes,,Yes
1,Gopal's56,11,32,2021-12-20,2022-02-04,2022-01-03,Investment0Paane0Ka0Sapna,Rannvijay0Singh,Food,Fiber0Ice0Cream,https://www.gopals56.in/,2014,1,1,,,0,Middle,Delhi,Delhi,80,33,21,,,,,,,30000,25,120000,No,,,,,,,,,,,,Yes,,Yes,Yes,Yes,,Yes
1,ARRCOATSurfaceTextures,11,33,2021-12-20,2022-02-04,2022-01-03,Investment0Paane0Ka0Sapna,Rannvijay0Singh,Manufacturing,Wall0Building0Surface0Textures,https://www.arrcoat.com/,2019,3,3,,,0,Middle,Delhi,Delhi,,6,,20,,,,,,50,5,1000,Yes,Yes,50,15,1,,,50,,,,,Yes,,Yes,Yes,Yes,,Yes
1,Farda,11,34,2021-12-20,2022-02-04,2022-01-03,Investment0Paane0Ka0Sapna,Rannvijay0Singh,Beauty/Fashion,Customised0Streetwear,https://fardaclothing.com/,2021,2,1,1,,0,Young,Nagpur,Maharashtra,,0.32,115,,,,,,,30,10,300,Yes,Yes,30,20,2,15,,,15,,,,Yes,,Yes,Yes,Yes,,Yes
1,Auli,12,35,2021-12-20,2022-02-04,2022-01-04,Ek0Idea0Aur0Uske0Do0Sides,Rannvijay0Singh,Beauty/Fashion,Ayurvedic0Products0Skincare0Lifestyle,https://aulilifestyle.com/,2017,1,,1,,0,Middle,Kolkata,West0Bengal,250,16,80,10,,,,,,75,4,1875,Yes,Yes,75,15,1,75,,,,,,,Yes,,Yes,Yes,Yes,,Yes
1,SweeDesi,12,36,2021-12-20,2022-02-04,2022-01-04,Ek0Idea0Aur0Uske0Do0Sides,Rannvijay0Singh,Food,Indian0Sweets0Online,https://www.sweedesi.com/,2018,2,1,1,,1,Middle,Pune,Maharashtra,,,,,,,,,,40,3,1333,No,,,,,,,,,,,,Yes,,Yes,Yes,Yes,,Yes
1,LOKA,12,37,2021-12-20,2022-02-04,2022-01-04,Ek0Idea0Aur0Uske0Do0Sides,Rannvijay0Singh,Technology/Software,Metaverse0App,https://www.lokaworld.app/,2020,1,1,,,0,Young,Delhi,Delhi,,,,,,,,,,40,5,800,Yes,Yes,40,24,3,,,13.33,13.33,13.33,,,Yes,,Yes,Yes,Yes,,Yes
1,Annie,13,38,2021-12-20,2022-02-04,2022-01-05,Ideas0By0Young0Entrepreneurs,Rannvijay0Singh,Education,Thinkerbell0labs0Braille0Literary0Device,https://www.thinkerbelllabs.com/annie,2016,4,3,1,,1,Young,Bangalore,Karnataka,500,4,50,,,,,,,30,0.5,6000,Yes,Yes,105,3,3,35,,35,,35,,,Yes,,Yes,Yes,Yes,,Yes
1,Carragreen,13,39,2021-12-20,2022-02-04,2022-01-05,Ideas0By0Young0Entrepreneurs,Rannvijay0Singh,Manufacturing,Eco-Friendly0boxes,https://carragreen.com/,2018,2,,2,,0,Middle,Indore,Madhya0Pradesh,,,,,,,,yes,,50,10,500,Yes,Yes,50,20,2,,,25,,25,,,Yes,,Yes,Yes,Yes,,Yes
1,TheYarnBazaar,13,40,2021-12-20,2022-02-04,2022-01-05,Ideas0By0Young0Entrepreneurs,Rannvijay0Singh,Manufacturing,Yarn-Trading0App0Online0Marketplace0for0Yarn,https://theyarnbazaar.com/,2019,1,1,,,0,Middle,Mumbai,Maharashtra,180,,,,,,,,,50,2,2500,Yes,Yes,100,10,4,,,25,25,25,,25,Yes,,Yes,Yes,Yes,,Yes
1,TheRenalProject,14,41,2021-12-20,2022-02-04,2022-01-06,Naye0Aur0Nayab0Pitchers,Rannvijay0Singh,Medical/Health,Home0Dialysis0Treatment,https://www.therenalproject.com/,2019,1,1,,,0,Middle,Mumbai,Maharashtra,300,,,,,,,,,100,3,3333,Yes,Yes,100,6,2,50,,,50,,,,Yes,,Yes,Yes,Yes,,Yes
1,MorrikoPureFoods,14,42,2021-12-20,2022-02-04,2022-01-06,Naye0Aur0Nayab0Pitchers,Rannvijay0Singh,Food,Healthy0Food0Snacks0Kamdhenu0foods,https://morrikopurefoods.com/,2018,3,2,1,,0,Middle,Valsad,Gujarat,,16,,,,,,,,100,3,3333,Yes,No,,,,,,,,,,,Yes,,Yes,Yes,Yes,,Yes
1,GoodGoodPiggy,14,43,2021-12-20,2022-02-04,2022-01-06,Naye0Aur0Nayab0Pitchers,Rannvijay0Singh,Technology/Software,Digital0Piggy0Bank,https://goodgoodpiggy.com/,2021,2,,2,,0,Young,Delhi,Delhi,0,,,,,,,,,45,5,900,No,,,,,,,,,,,,Yes,,Yes,Yes,Yes,,Yes
1,HammerLifestyle,15,44,2021-12-20,2022-02-04,2022-01-07,It's0Time0To0Change,Rannvijay0Singh,Electronics,Smart0Audio0Products,https://hammeronline.in/,2019,3,3,,,0,Young,Panipat,Haryana,1000,,,,,,14,,,30,3,1000,Yes,Yes,100,40,1,,,,100,,,,Yes,,Yes,Yes,Yes,,Yes
1,PNTRobotics,15,45,2021-12-20,2022-02-04,2022-01-07,It's0Time0To0Change,Rannvijay0Singh,Technology/Software,Robotics0and0Automation0Solutions,https://pntsolutions.in/,2021,2,2,,,0,Young,Mumbai,Maharashtra,,,,,,,,,,50,4,1250,Yes,Yes,25,25,1,,,,,25,,,Yes,,Yes,Yes,Yes,,Yes
1,Cocofit,15,46,2021-12-20,2022-02-04,2022-01-07,It's0Time0To0Change,Rannvijay0Singh,Food,Coconut0based0beverage0franchise,https://www.cocofit.in/,2019,3,3,,,0,Middle,Hyderabad,Telangana,100,,95,,,,,,,0.00005,5,0,Yes,Yes,0.00005,5,3,0.000016,,0.000016,0.000016,,,,Yes,,Yes,Yes,Yes,,Yes
1,BambooIndia,16,47,2021-12-20,2022-02-04,2022-01-10,Winning0The0Sharks0Trust,Rannvijay0Singh,Manufacturing,Bamboo0Products,https://www.bambooindia.com/,2016,2,1,1,,1,Middle,Pune,Maharashtra,380,20,,,,,,,,80,4,2000,Yes,Yes,50,3.5,2,,,25,,,,25,Yes,,Yes,Yes,Yes,,Yes
1,FlyingFur,16,48,2021-12-20,2022-02-04,2022-01-10,Winning0The0Sharks0Trust,Rannvijay0Singh,Animal/Pets,Dog0pets0Hygiene,https://flyingfur.in/,2016,3,2,1,,0,Middle,Delhi,Delhi,,,,,,,,,,75,7,1071,No,,,,,,,,,,,,Yes,,Yes,Yes,Yes,,Yes
1,BeyondWater,16,49,2021-12-20,2022-02-04,2022-01-10,Winning0The0Sharks0Trust,Rannvijay0Singh,Food,Liquid0Water0Enhancer,https://drinkbeyond.co.in/,2020,2,1,1,,0,Young,Kolkata,West0Bengal,,10,,,,,,,,75,4,1875,Yes,Yes,75,15,2,37.5,,,37.5,,,,Yes,,Yes,Yes,Yes,,Yes
1,Let'sTry,16,50,2021-12-20,2022-02-04,2022-01-10,Winning0The0Sharks0Trust,Rannvijay0Singh,Food,Healthy0Snacks,https://www.letstryfoods.com/,2017,4,1,3,,1,Middle,Delhi,Delhi,,3,55,25,,,50,,,45,2,2250,Yes,Yes,45,12,2,,,22.5,22.5,,,,Yes,,Yes,Yes,Yes,,Yes
1,FindYourKicksIndia,17,51,2021-12-20,2022-02-04,2022-01-11,A0Wave0Of0Startups,Rannvijay0Singh,Beauty/Fashion,Sneaker0Resale,https://findyourkicksindia.co/,2021,3,3,,,0,Young,Ludhiana,Punjab,,3.5,,,,,,,,50,10,500,Yes,Yes,50,25,5,10,,10,10,10,,10,Yes,,Yes,Yes,Yes,,Yes
1,AasVidyalaya,17,52,2021-12-20,2022-02-04,2022-01-11,A0Wave0Of0Startups,Rannvijay0Singh,Education,EdTech0App,https://www.aasvidyalaya.com/,2019,2,1,1,,1,Middle,Mumbai,Maharashtra,150,,,,,,,,,150,3,5000,Yes,Yes,150,15,3,50,,,,50,,50,Yes,,Yes,Yes,Yes,,Yes
1,Outbox,17,53,2021-12-20,2022-02-04,2022-01-11,A0Wave0Of0Startups,Rannvijay0Singh,Services,Premium0Surprise-Planning,https://www.outboxsurprises.com/,2017,2,1,1,,0,Young,Kolkata,West0Bengal,110,,,,,,,,,50,5,1000,No,,,,,,,,,,,,Yes,,Yes,Yes,Yes,,Yes
1,RoadBounce,17,54,2021-12-20,2022-02-04,2022-01-11,A0Wave0Of0Startups,Rannvijay0Singh,Technology/Software,Pothole0Detection0Software0and0Data,https://www.roadbounce.com/,2016,1,1,,,0,Middle,Pune,Maharashtra,250,,,,,,,yes,,80,10,800,Yes,Yes,80,20,1,,,,,80,,,Yes,,Yes,Yes,Yes,,Yes
1,Mommy'sKitchen,18,55,2021-12-20,2022-02-04,2022-01-12,Investing0In0Profitable0Businesses,Rannvijay0Singh,Food,Thin0Crust0Pizza,https://mommys.kitchen/,2016,3,2,1,,0,Middle,Mumbai,Maharashtra,92,4.5,,,,,,,,90,3,3000,No,,,,,,,,,,,,Yes,,Yes,Yes,Yes,,Yes
1,IndiaHempandCo,18,56,2021-12-20,2022-02-04,2022-01-12,Investing0In0Profitable0Businesses,Rannvijay0Singh,Food,Hemp0Food0Products,https://www.indiahempandco.com/,2019,1,,1,,0,Middle,Bangalore,Karnataka,27,2,,,,,12,,,50,4,1250,Yes,No,,,,,,,,,,,Yes,,Yes,Yes,Yes,,Yes
1,Otua,18,57,2021-12-20,2022-02-04,2022-01-12,Investing0In0Profitable0Businesses,Rannvijay0Singh,Vehicles/Electrical0Vehicles,Electric0Auto0Vehicle0Dandera,https://www.danderaelectric.com/,2018,2,2,,,0,Middle,Gurgaon,Haryana,,,,,,,,,,100,1,10000,Yes,Yes,1,1,1,,,,,,,1,Yes,,Yes,Yes,Yes,,Yes
1,Anthyesti,18,58,2021-12-20,2022-02-04,2022-01-12,Investing0In0Profitable0Businesses,Rannvijay0Singh,Services,Funeral0Service0the0last0rites,https://anthyesti.com/,2015,1,,1,,0,Middle,Bangalore,Karnataka,116,,50,6,,,,,,50,2.5,2000,No,,,,,,,,,,,,Yes,,Yes,Yes,Yes,,Yes
1,Ethik,19,59,2021-12-20,2022-02-04,2022-01-13,Forming0An0Idea0And0Bagging0A0Deal,Rannvijay0Singh,Manufacturing,Leather-free0Shoes,https://www.ethik.in/,2012,2,2,,,0,Middle,Bangalore,Karnataka,12,1,,,,,,,,15,5,300,No,,,,,,,,,,,,Yes,,Yes,Yes,Yes,,Yes
1,WeSTOCK,19,60,2021-12-20,2022-02-04,2022-01-13,Forming0An0Idea0And0Bagging0A0Deal,Rannvijay0Singh,Animal/Pets,Brainwired0Livestock0health0monitoring0AI0pets0ear0tag,https://www.brainwired.in/,2018,2,2,,,0,Middle,Ernakulam,Kerala,54,,,,,,,,,50,5,1000,Yes,Yes,60,10,4,15,,,15,15,,15,Yes,,Yes,Yes,Yes,,Yes
1,KetoIndia,19,61,2021-12-20,2022-02-04,2022-01-13,Forming0An0Idea0And0Bagging0A0Deal,Rannvijay0Singh,Food,Customised0Keto0Diets0for0various0Medical/Health0issues,https://www.ketoindia.fit/,2019,1,1,,,0,Young,Delhi,Delhi,180,15,,,,,,,,150,1.25,12000,Yes,No,,,,,,,,,,,Yes,,Yes,Yes,Yes,,Yes
1,Magiclock,19,62,2021-12-20,2022-02-04,2022-01-13,Forming0An0Idea0And0Bagging0A0Deal,Rannvijay0Singh,Hardware,LPG0Cylinder0lock,http://www.magiclockdc.com/,2019,3,3,,,0,Middle,Mumbai,Maharashtra,,0.04,,,,,,yes,,120,8,1500,No,,,,,,,,,,,,Yes,,Yes,Yes,Yes,,Yes
1,TheStatePlate,20,63,2021-12-20,2022-02-04,2022-01-14,A0Variety0Of0Ideas,Rannvijay0Singh,Food,Delicacies,https://thestateplate.com/,2020,2,1,1,,0,Young,"Bangalore,Kolkata","Karnataka,West0Bengal",,40,34,,,yes,400,,,65,2,3250,Yes,Yes,40,3,1,,,,,40,,,Yes,,Yes,Yes,Yes,,Yes
1,Bakarmax,20,64,2021-12-20,2022-02-04,2022-01-14,A0Variety0Of0Ideas,Rannvijay0Singh,Technology/Software,Comics0&0Animation,https://bakarmax.com/,2020,2,2,,,0,Young,Delhi,Delhi,35,5,,,,,,,,35,5,700,No,,,,,,,,,,,,Yes,,Yes,Yes,Yes,,Yes
1,INACAN,20,65,2021-12-20,2022-02-04,2022-01-14,A0Variety0Of0Ideas,Rannvijay0Singh,Food,Can0Cocktails,https://inacan.in/,2020,3,3,,,0,Middle,Pune,Maharashtra,,23,,,,,,,,50,2,2500,Yes,Yes,100,10,5,20,,20,20,20,,20,Yes,,Yes,Yes,Yes,,Yes
1,Get-A-Whey,21,66,2021-12-20,2022-02-04,2022-01-17,Game-changing0Ideas,Rannvijay0Singh,Food,Sugar-Free0Icecream,https://getawhey.in/,2018,2,1,1,,0,Middle,Mumbai,Maharashtra,360,0.25,69,20,,,12,,,100,8,1250,Yes,Yes,100,15,3,,33.33,,33.33,,,33.33,,Yes,Yes,Yes,Yes,,Yes
1,Sid07Designs,21,67,2021-12-20,2022-02-04,2022-01-17,Game-changing0Ideas,Rannvijay0Singh,Hardware,Inventions,https://sid07designs.com/,2018,1,1,,,0,Young,Jammu,Jammu0&0Kashmir,,1,,,,,,yes,,47,10,470,Yes,Yes,25,75,1,,,,,25,,,,Yes,Yes,Yes,Yes,,Yes
1,TheQuirkyNaari,21,68,2021-12-20,2022-02-04,2022-01-17,Game-changing0Ideas,Rannvijay0Singh,Beauty/Fashion,Customised0Apparels,https://thequirkynaari.com/,2018,1,,1,,0,Young,Mathura,Uttar0Pradesh,,3,,,,,,,,35,5,700,Yes,Yes,35,24,2,,17.5,17.5,,,,,,Yes,Yes,Yes,Yes,,Yes
1,HairOriginals,22,69,2021-12-20,2022-02-04,2022-01-18,Turning0Ideas0Into0Businesses,Rannvijay0Singh,Beauty/Fashion,Natural0Hair0Extensions,https://www.hairoriginals.in/,2019,3,3,,,0,Middle,Gurgaon,Haryana,,55,62,,,,,,,60,2,3000,Yes,Yes,60,4,3,,,20,,20,,20,,Yes,Yes,Yes,Yes,,Yes
1,Poo-de-Cologne,22,70,2021-12-20,2022-02-04,2022-01-18,Turning0Ideas0Into0Businesses,Rannvijay0Singh,Beauty/Fashion,Toilet0Spray0with0Essential0Oils,https://www.poodecologne.com/,2021,1,,1,,0,Middle,Mumbai,Maharashtra,,0.75,150,,,,,,,75,5,1500,No,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,Yes
